epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,1.84308475,1.70633039,0.30754,0.3752
2,1.62757167,1.5585871,0.39996,0.4311
3,1.51620161,1.6097997,0.44446,0.4293
4,1.45021508,1.50482577,0.46864,0.4529
5,1.38285088,1.41326123,0.49418,0.4945
6,1.3198611,1.38291078,0.52252,0.5003
7,1.25911979,1.23937,0.54532,0.5587
8,1.21280335,1.18345945,0.5623,0.5676
9,1.17421903,1.17419013,0.57826,0.5746
10,1.1422332,1.16950572,0.59022,0.5797
11,1.11513656,1.12206812,0.6008,0.5965
12,1.08602478,1.16970434,0.61044,0.5871
13,1.06711214,1.08243444,0.6189,0.6097
14,1.04459999,1.04596604,0.62782,0.6266
15,1.02826322,1.10359348,0.63362,0.6158
16,1.00961442,1.14533923,0.6405,0.6025
17,0.99578435,1.08730624,0.64618,0.6105
18,0.98257371,1.00092339,0.6487,0.6416
19,0.97170569,0.98456894,0.65488,0.6477
20,0.95796103,0.97740304,0.6575,0.6562
21,0.94594508,1.00821014,0.662,0.644
22,0.9318163,0.96947107,0.66908,0.6559
23,0.9238203,0.98714313,0.67126,0.6533
24,0.91263132,0.97627784,0.67448,0.6576
25,0.90126373,0.93301526,0.67994,0.6668
26,0.89783846,0.94414401,0.6819,0.6705
27,0.89214185,0.98912887,0.684,0.6588
28,0.87742374,0.88707965,0.68898,0.6843
29,0.86935682,0.93952078,0.69404,0.6735
30,0.86033546,0.92452638,0.69632,0.6767
31,0.86191976,0.90378135,0.69414,0.6854
32,0.84871473,0.92918906,0.69888,0.669
33,0.84508015,0.86992734,0.70188,0.694
34,0.83476128,0.91591898,0.7031,0.6752
35,0.8286158,0.88149024,0.70652,0.6878
36,0.82374204,0.88520549,0.70746,0.6856
37,0.81924085,0.8668378,0.7108,0.6951
38,0.80673782,0.88365576,0.71524,0.6927
39,0.80966471,0.85153691,0.71146,0.7015
40,0.79790258,0.87904408,0.7174,0.6948
41,0.79286033,0.8924795,0.71864,0.6914
42,0.78850612,0.87828116,0.7196,0.6901
43,0.78380254,0.84024375,0.72178,0.7041
44,0.77701146,0.86188984,0.72566,0.6959
45,0.76781552,0.85200087,0.72818,0.7009
46,0.76358135,0.83481903,0.72836,0.7065
47,0.75824453,0.83891604,0.72964,0.7078
48,0.75251498,0.84456874,0.73436,0.7064
49,0.74478617,0.81861364,0.73786,0.7116
50,0.74276275,0.81116123,0.73488,0.7184
51,0.74101353,0.84249564,0.73738,0.7064
52,0.7260076,0.85694277,0.74106,0.7055
53,0.72135269,0.82458145,0.74524,0.7099
54,0.72047245,0.79370251,0.74482,0.7222
55,0.71613223,0.79422674,0.74716,0.7219
56,0.70537435,0.80796044,0.75042,0.7147
57,0.69986168,0.80021725,0.7505,0.7161
58,0.69005408,0.81183396,0.75366,0.7201
59,0.68945427,0.77706005,0.75466,0.7298
60,0.68547656,0.75573356,0.7534,0.7366
61,0.67633695,0.77278257,0.7598,0.7323
62,0.67322365,0.78427578,0.76146,0.7239
63,0.66747989,0.75234078,0.76208,0.7402
64,0.65758998,0.7938483,0.76542,0.7234
65,0.65413489,0.77481434,0.76898,0.7293
66,0.64792472,0.75838418,0.76874,0.7399
67,0.64579434,0.73843838,0.77148,0.7437
68,0.64014152,0.74750467,0.77166,0.7413
69,0.6250788,0.73671417,0.77788,0.7449
70,0.62028916,0.74698759,0.77888,0.7433
71,0.61477189,0.76643695,0.78266,0.7342
72,0.61016617,0.74911249,0.7831,0.7415
73,0.6045042,0.72522038,0.78452,0.7545
74,0.59496015,0.7780817,0.78988,0.734
75,0.58872316,0.73223912,0.79088,0.7494
76,0.57824814,0.73750646,0.79354,0.7501
77,0.57674859,0.70838871,0.79514,0.7569
78,0.56962446,0.71078489,0.79744,0.7582
79,0.55748968,0.69386696,0.8011,0.7639
80,0.55382874,0.73701441,0.80304,0.7497
81,0.54863937,0.71680791,0.80646,0.7528
82,0.53980765,0.69209238,0.8071,0.7615
83,0.53291128,0.69344842,0.81172,0.7664
84,0.52245989,0.70794957,0.81392,0.761
85,0.51796499,0.69569872,0.81456,0.7614
86,0.51396516,0.69052078,0.81762,0.7606
87,0.50008302,0.68536118,0.82318,0.7697
88,0.49285498,0.69088978,0.82532,0.7644
89,0.48772063,0.65677465,0.8268,0.7755
90,0.4777,0.70692094,0.8299,0.756
91,0.47305036,0.68395429,0.8295,0.7711
92,0.46184064,0.67978599,0.83568,0.7674
93,0.45623298,0.68479804,0.83748,0.7628
94,0.44500491,0.68755465,0.84108,0.7679
95,0.43909051,0.68051093,0.84358,0.7703
96,0.42595901,0.6797792,0.847,0.7714
97,0.42331978,0.67675829,0.84752,0.7746
98,0.41002271,0.67100476,0.85358,0.7741
99,0.40259684,0.67473741,0.85508,0.7777
100,0.39112194,0.67658079,0.86048,0.7766
