epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,2.19447613,1.809649,0.25696,0.3313
2,1.74600503,1.72452775,0.34438,0.3601
3,1.63953511,1.65270945,0.39114,0.388
4,1.5660576,1.54357409,0.4219,0.4375
5,1.5080589,1.59365329,0.44634,0.429
6,1.46711627,1.52632894,0.46434,0.4497
7,1.42863205,1.47587522,0.47624,0.4637
8,1.40522068,1.53409651,0.48708,0.4605
9,1.38366318,1.40856378,0.49216,0.4906
10,1.3634668,1.38246088,0.50404,0.5029
11,1.35090577,1.30616963,0.51094,0.5249
12,1.32529535,1.34219955,0.51766,0.5185
13,1.31325572,1.35722928,0.52264,0.5003
14,1.2984255,1.28966209,0.52786,0.5315
15,1.28741314,1.3276585,0.53512,0.5179
16,1.28102143,1.29433762,0.53554,0.5304
17,1.2678814,1.29262099,0.54062,0.5293
18,1.26454651,1.2443393,0.54182,0.5439
19,1.253657,1.22882082,0.54674,0.5541
20,1.24637659,1.2251782,0.54992,0.5518
21,1.23685979,1.20770247,0.55276,0.569
22,1.22275872,1.21811993,0.5588,0.5598
23,1.22502935,1.23403504,0.55784,0.55
24,1.21077822,1.2236511,0.56264,0.5581
25,1.20739138,1.20590453,0.56486,0.5635
26,1.19785306,1.18410627,0.56914,0.5773
27,1.18885481,1.20011147,0.57032,0.5653
28,1.18175997,1.16473499,0.57546,0.5741
29,1.17510922,1.20980851,0.57716,0.5696
30,1.16960613,1.18599426,0.57932,0.5709
31,1.16213403,1.16282364,0.58202,0.5732
32,1.15056179,1.13905548,0.58496,0.5858
33,1.14610033,1.13294756,0.58964,0.5895
34,1.13662258,1.13964853,0.59276,0.5929
35,1.13239764,1.13962268,0.5936,0.5918
36,1.12519169,1.13024164,0.59662,0.5987
37,1.11366614,1.10017654,0.6013,0.6029
38,1.10834177,1.09522832,0.60614,0.6057
39,1.10632816,1.10116143,0.60384,0.6051
40,1.09838952,1.12631711,0.60528,0.5956
41,1.08710666,1.10931584,0.61134,0.6
42,1.08132378,1.1263698,0.61458,0.6003
43,1.08534937,1.12773444,0.61262,0.5982
44,1.07244317,1.11628928,0.6177,0.601
45,1.06725099,1.05478103,0.62076,0.6234
46,1.06257714,1.04752362,0.61808,0.6238
47,1.05746644,1.09920063,0.62424,0.6131
48,1.04953667,1.07845443,0.62658,0.615
49,1.04648917,1.05282972,0.62874,0.6282
50,1.04474023,1.06223108,0.62752,0.6199
51,1.03745366,1.07620894,0.63144,0.6211
52,1.03382808,1.05055124,0.6308,0.6268
53,1.03307218,1.00640408,0.63442,0.6419
54,1.02299919,1.10009845,0.63582,0.6102
55,1.01914636,0.99947082,0.63616,0.6416
56,1.01418118,1.05014146,0.63998,0.6217
57,1.00895205,1.00902518,0.64066,0.6379
58,1.00497285,1.02873306,0.64374,0.6323
59,0.99629583,1.00435893,0.64428,0.6419
60,0.99060276,1.00242174,0.64894,0.645
61,0.99011554,1.00510417,0.64782,0.6463
62,0.98677048,1.00223629,0.64962,0.6452
63,0.98443801,0.97871396,0.65098,0.6545
64,0.97678996,0.98532475,0.65162,0.6475
65,0.97342619,0.98989712,0.65272,0.6526
66,0.96129871,1.03411462,0.66016,0.6308
67,0.96355984,0.97311925,0.65732,0.6525
68,0.96080238,0.96194016,0.66016,0.6576
69,0.95482793,0.96440001,0.66008,0.6575
70,0.94581136,0.96967454,0.66374,0.6553
71,0.94357641,1.01527373,0.66614,0.6354
72,0.94233584,0.97291225,0.66526,0.6547
73,0.93329629,0.96919963,0.6684,0.6585
74,0.92885985,0.96906491,0.6712,0.6527
75,0.92785452,0.95300109,0.67196,0.6609
76,0.92355527,0.98298231,0.6723,0.6454
77,0.91386048,0.96534977,0.6784,0.6561
78,0.91171663,0.93366379,0.6765,0.6718
79,0.90902762,0.94443468,0.67666,0.6638
80,0.91106087,0.94454041,0.67826,0.6666
81,0.90369765,0.93495242,0.6804,0.6685
82,0.89494774,0.89720893,0.6833,0.6809
83,0.88725297,0.89642051,0.6845,0.6846
84,0.8891266,0.9133421,0.6854,0.6749
85,0.88106744,0.90505934,0.68502,0.6838
86,0.87472724,0.90845158,0.69116,0.674
87,0.87536085,0.8914401,0.69082,0.6806
88,0.86914674,0.92396247,0.69188,0.6778
89,0.86246568,0.90504398,0.69644,0.6833
90,0.85962109,0.87123095,0.6954,0.6894
91,0.85482076,0.89325336,0.69682,0.6873
92,0.84879107,0.9108563,0.70174,0.6803
93,0.84310146,0.88165105,0.7033,0.6879
94,0.84035826,0.87994463,0.70314,0.6878
95,0.83299983,0.86471039,0.70386,0.6935
96,0.83050144,0.87938037,0.70786,0.6887
97,0.81921692,0.88266739,0.71094,0.6921
98,0.82018275,0.84955777,0.71022,0.7082
99,0.81211254,0.86802446,0.71246,0.6959
100,0.81062325,0.87926289,0.7134,0.6983
