epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,4.1721727,3.99650686,0.07174,0.0924
2,3.77504642,3.77642219,0.11516,0.1152
3,3.6271363,3.63718009,0.13888,0.14
4,3.5253663,3.51868848,0.15922,0.1594
5,3.46743769,3.46566363,0.16778,0.1767
6,3.42097514,3.44034295,0.17582,0.1767
7,3.38624808,3.3944494,0.18112,0.1867
8,3.3548445,3.31718582,0.18626,0.1946
9,3.33218785,3.32627802,0.19324,0.2004
10,3.31311782,3.30054206,0.19588,0.2016
11,3.29761272,3.30150457,0.1997,0.1995
12,3.28599365,3.26723469,0.2007,0.2055
13,3.27059928,3.26401448,0.20644,0.214
14,3.25722521,3.23645988,0.20704,0.2182
15,3.2485792,3.25809225,0.20998,0.213
16,3.24478077,3.26133895,0.20766,0.2088
17,3.23183064,3.22647912,0.20986,0.224
18,3.22428989,3.23008248,0.21058,0.2185
19,3.2142763,3.22819856,0.21646,0.2156
20,3.20981604,3.19615984,0.21764,0.2283
21,3.20112716,3.20245074,0.21794,0.219
22,3.19564412,3.24470057,0.2178,0.2124
23,3.1907311,3.20816748,0.21846,0.2221
24,3.18154025,3.17706564,0.22182,0.2252
25,3.1798395,3.14044187,0.22244,0.2374
26,3.16994774,3.1629505,0.22442,0.2296
27,3.1627559,3.1378152,0.22602,0.2337
28,3.1568307,3.19276546,0.22478,0.2253
29,3.14951254,3.15815089,0.22682,0.2321
30,3.14391262,3.1080653,0.22734,0.2439
31,3.13944797,3.10678089,0.22926,0.2417
32,3.1381181,3.1359547,0.23084,0.2372
33,3.12815629,3.1542139,0.2333,0.2374
34,3.12233215,3.13888407,0.23032,0.2382
35,3.11963514,3.10846079,0.23344,0.2378
36,3.11393489,3.16226159,0.23574,0.2302
37,3.10814482,3.08676499,0.23734,0.2454
38,3.10372857,3.11896444,0.23548,0.2413
39,3.09960254,3.11618703,0.2355,0.2383
40,3.08845891,3.0579377,0.23848,0.2486
41,3.09087404,3.07966143,0.23952,0.2432
42,3.08015266,3.11803678,0.24014,0.2353
43,3.07373913,3.06131668,0.2435,0.2478
44,3.07050182,3.04725571,0.2436,0.2554
45,3.06918141,3.04705263,0.2432,0.2494
46,3.05961351,3.06205014,0.24536,0.2479
47,3.05889508,3.11793293,0.24486,0.2386
48,3.04277537,3.05750012,0.24738,0.2546
49,3.03789013,3.03074724,0.24812,0.2582
50,3.03891004,3.04590114,0.2501,0.2525
51,3.02438939,3.07219452,0.2506,0.2531
52,3.03112069,3.05896933,0.24946,0.2508
53,3.02100965,3.0687429,0.25296,0.2466
54,3.01374226,3.01755304,0.25388,0.2557
55,3.00667494,3.00377128,0.25364,0.2637
56,3.00629499,3.0551953,0.25604,0.2494
57,2.99583316,3.0062627,0.2586,0.2567
58,2.98995448,3.01301386,0.25956,0.2527
59,2.98714463,3.04055219,0.25704,0.2558
60,2.97980486,3.03544338,0.25876,0.2551
61,2.9687522,2.98911091,0.26402,0.2599
62,2.96574742,2.98604473,0.26242,0.2623
63,2.96307976,2.9984729,0.2632,0.2631
64,2.9508975,2.95418456,0.26662,0.2695
65,2.94338613,2.93820452,0.26714,0.2782
66,2.94004099,2.95917171,0.26558,0.2678
67,2.92743945,2.96639135,0.26918,0.2672
68,2.923815,2.96355469,0.26952,0.2665
69,2.91816212,2.91644198,0.2715,0.2727
70,2.91486921,2.96402813,0.27154,0.2688
71,2.91062981,2.92145967,0.27198,0.2756
72,2.89468102,2.90198518,0.2769,0.2808
73,2.88977153,2.90056359,0.2774,0.2845
74,2.8792384,2.91715588,0.27958,0.2818
75,2.872396,2.89777224,0.28132,0.2817
76,2.87035508,2.9171666,0.28248,0.276
77,2.85531574,2.87987795,0.28392,0.2871
78,2.84969002,2.86605403,0.28572,0.2885
79,2.84599755,2.91749159,0.2858,0.2807
80,2.83388429,2.89598952,0.2863,0.2864
81,2.82632724,2.8587401,0.28834,0.2934
82,2.81269889,2.86615356,0.2927,0.291
83,2.80766357,2.93078241,0.29228,0.275
84,2.80498111,2.86215761,0.29552,0.2854
85,2.79916125,2.85385442,0.29176,0.2883
86,2.7885971,2.85198142,0.29576,0.2904
87,2.77546766,2.87207587,0.2993,0.2846
88,2.76935533,2.84577472,0.301,0.2895
89,2.75530301,2.83939744,0.30452,0.2917
90,2.7528484,2.81967772,0.30266,0.3044
91,2.73586052,2.82062171,0.30744,0.2975
92,2.73154341,2.81716168,0.3076,0.2958
93,2.71879014,2.80318911,0.31072,0.3034
94,2.71127169,2.78376706,0.31182,0.3056
95,2.70098039,2.77600682,0.31458,0.3083
96,2.68850832,2.79324609,0.31576,0.3026
97,2.67602219,2.77614956,0.31876,0.3111
98,2.66922114,2.75811707,0.32118,0.315
99,2.65932109,2.77576009,0.3222,0.3047
100,2.63806668,2.77819411,0.32712,0.306
101,2.64133423,2.73111563,0.3268,0.3179
102,2.61736748,2.75379649,0.33292,0.3123
103,2.61213967,2.74620811,0.33278,0.3181
104,2.59939094,2.73494364,0.33348,0.3193
105,2.57953133,2.7444614,0.33954,0.3163
106,2.57232839,2.75190591,0.34124,0.315
107,2.55480979,2.72539257,0.34408,0.3185
108,2.55061734,2.70916089,0.34478,0.3236
109,2.53619813,2.71912559,0.3464,0.3236
110,2.5150546,2.71549364,0.35252,0.3244
111,2.51401296,2.68781879,0.35192,0.3283
112,2.49084743,2.69590211,0.3589,0.3294
113,2.48302395,2.67345349,0.3605,0.3333
114,2.4638431,2.69310008,0.36254,0.3263
115,2.45686836,2.68333943,0.36334,0.3285
116,2.43575891,2.67118664,0.3699,0.3324
117,2.42739103,2.65902496,0.37114,0.3382
118,2.41144455,2.68207828,0.37576,0.3337
119,2.39561142,2.65187177,0.37684,0.338
120,2.38107259,2.66656966,0.38072,0.3345
121,2.36305752,2.66090573,0.3848,0.3372
122,2.34505063,2.65925082,0.38804,0.3363
123,2.33423482,2.66693753,0.3912,0.3408
124,2.3185937,2.64121235,0.39416,0.342
125,2.29882314,2.66609303,0.39896,0.3372
126,2.28293477,2.63699788,0.39966,0.3438
127,2.26563394,2.63200255,0.4067,0.3498
128,2.24896183,2.61394262,0.4097,0.3535
129,2.22888804,2.62379361,0.41276,0.3472
130,2.21751615,2.62768527,0.4164,0.3535
131,2.19911139,2.62233707,0.42128,0.3545
132,2.1831405,2.62987441,0.42386,0.3521
133,2.17009883,2.62098488,0.42672,0.3546
134,2.15743402,2.62145171,0.4298,0.3548
135,2.13590032,2.61610412,0.43382,0.3573
136,2.11561237,2.61339392,0.43684,0.3624
137,2.0965244,2.60163119,0.44334,0.3605
138,2.08427309,2.60002169,0.447,0.3612
139,2.07302668,2.60331948,0.44916,0.361
140,2.05793102,2.59631412,0.45138,0.3617
141,2.04355045,2.6072774,0.45738,0.353
142,2.02284711,2.60757821,0.45862,0.3585
143,2.01930468,2.60144235,0.45954,0.3634
144,2.00151996,2.60347401,0.4634,0.3614
145,2.00396044,2.60944689,0.46408,0.3573
146,1.99091788,2.60349863,0.46514,0.362
147,1.97175462,2.60742101,0.47176,0.3628
148,1.97032692,2.60388366,0.47172,0.3633
149,1.96474382,2.60528769,0.47184,0.3617
150,1.96407425,2.61031117,0.47284,0.3635
