epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,4.04429698,3.88885504,0.0774,0.1018
2,3.65465865,3.65130422,0.13436,0.1403
3,3.46558127,3.55125676,0.16666,0.1602
4,3.3318711,3.37656788,0.19012,0.1893
5,3.22549344,3.31188313,0.21216,0.204
6,3.12427343,3.19218344,0.228,0.2183
7,3.03975679,3.16745102,0.24352,0.2154
8,2.96698372,3.13231201,0.25752,0.2329
9,2.90633419,3.07026446,0.26964,0.2507
10,2.8574846,2.90050484,0.27834,0.28
11,2.80812478,2.87087094,0.28886,0.2758
12,2.77027438,2.81731743,0.29986,0.2901
13,2.72296147,2.75188663,0.3066,0.3029
14,2.69677227,2.82537395,0.31248,0.2953
15,2.6594329,2.80029426,0.31968,0.302
16,2.62773774,2.7212279,0.32686,0.3111
17,2.60278163,2.86441967,0.32984,0.2805
18,2.57668841,2.72276484,0.33714,0.312
19,2.54694847,2.69179561,0.3427,0.3177
20,2.53499935,2.63144098,0.3474,0.3247
21,2.51015664,2.54529266,0.3529,0.3463
22,2.4926263,2.60770084,0.35522,0.3361
23,2.47369104,2.59185393,0.35814,0.3351
24,2.46076088,2.55403026,0.36348,0.3422
25,2.43797094,2.56172494,0.36698,0.3395
26,2.42497549,2.58847126,0.37,0.3427
27,2.41477868,2.55411864,0.3712,0.3445
28,2.39740132,2.4861565,0.37706,0.367
29,2.38710886,2.56408192,0.37822,0.3504
30,2.37429161,2.50902446,0.38148,0.3635
31,2.35746612,2.46212466,0.38392,0.3634
32,2.34490576,2.50818632,0.38448,0.3564
33,2.33142056,2.51413063,0.38854,0.3531
34,2.31745115,2.47721747,0.39186,0.3606
35,2.30349366,2.40787673,0.39322,0.3744
36,2.29452706,2.47957901,0.3972,0.3695
37,2.28271219,2.49891385,0.39766,0.3522
38,2.27084419,2.41700982,0.40246,0.3772
39,2.25101102,2.37051227,0.40478,0.3834
40,2.23484718,2.38923936,0.40896,0.3819
41,2.22714805,2.4281776,0.41266,0.376
42,2.21534658,2.32861571,0.41434,0.3902
43,2.20320046,2.32322354,0.41596,0.397
44,2.19184492,2.33654069,0.41974,0.389
45,2.17805863,2.39192819,0.42052,0.383
46,2.15708126,2.38280799,0.42678,0.3888
47,2.15437953,2.32795322,0.42716,0.3992
48,2.13444124,2.30779442,0.43196,0.3932
49,2.11426463,2.28880335,0.43424,0.4041
50,2.11326529,2.32152236,0.43436,0.4009
51,2.09510296,2.3228905,0.44122,0.3981
52,2.09097839,2.29534827,0.44102,0.4025
53,2.07545817,2.26262363,0.44576,0.4153
54,2.04804169,2.3223658,0.45018,0.4005
55,2.04680252,2.28846034,0.45038,0.4021
56,2.03625695,2.22941446,0.45186,0.415
57,2.01816958,2.262149,0.46036,0.4147
58,2.00450324,2.27861038,0.46058,0.4077
59,1.99526123,2.31574008,0.46454,0.4047
60,1.97330018,2.28444808,0.46234,0.4081
61,1.96951126,2.20711628,0.46762,0.4269
62,1.95111022,2.16478672,0.47348,0.4323
63,1.93505496,2.18218627,0.4764,0.429
64,1.92661474,2.1900604,0.47734,0.4233
65,1.90013073,2.21502848,0.48424,0.4238
66,1.88912072,2.19631608,0.49086,0.4296
67,1.87898395,2.19874648,0.48732,0.4174
68,1.86340961,2.16526354,0.49254,0.4367
69,1.84302486,2.11076605,0.49534,0.4452
70,1.83590959,2.17205333,0.5001,0.4407
71,1.81514804,2.1277673,0.50372,0.4504
72,1.79193927,2.13145975,0.5074,0.4418
73,1.7817158,2.0713342,0.51112,0.4526
74,1.7564484,2.12218922,0.5145,0.4452
75,1.73985465,2.10979459,0.52324,0.4446
76,1.72641119,2.13623023,0.52296,0.4443
77,1.70524795,2.11422885,0.52956,0.4519
78,1.68063311,2.12228043,0.5326,0.4495
79,1.66217066,2.11311867,0.53586,0.4552
80,1.65045282,2.10401709,0.53896,0.4522
81,1.62497608,2.11564003,0.54738,0.4587
82,1.60437782,2.05355653,0.55206,0.4624
83,1.58705578,2.04801615,0.5556,0.4654
84,1.55809111,2.11973436,0.56202,0.4579
85,1.53770947,2.04619922,0.5655,0.4691
86,1.51904812,2.05280315,0.57258,0.4775
87,1.49304661,2.04265954,0.57794,0.4687
88,1.47211875,2.02426753,0.58278,0.4726
89,1.44471177,1.96826908,0.58968,0.4847
90,1.42225618,2.04649762,0.5981,0.4725
91,1.40447774,2.05348564,0.59886,0.4757
92,1.37431637,2.00437988,0.60428,0.4764
93,1.3430734,1.98682729,0.61246,0.4901
94,1.31983505,2.00632201,0.62116,0.4821
95,1.29420463,2.00256039,0.62294,0.4819
96,1.2641601,2.01006418,0.63298,0.4786
97,1.23326268,2.00153983,0.63996,0.4877
98,1.21238073,1.96177895,0.646,0.4948
99,1.18014663,1.97758851,0.65514,0.4974
100,1.14873875,1.97889108,0.66254,0.4997
101,1.12360926,1.98169222,0.6693,0.4913
102,1.08429283,1.97112355,0.68022,0.5013
103,1.0540301,1.96593618,0.68784,0.5033
104,1.01831543,2.03846233,0.69654,0.4934
105,0.98950212,1.95809433,0.7045,0.507
106,0.95189281,2.00215561,0.71296,0.4989
107,0.92245337,2.02897345,0.72134,0.499
108,0.88609757,2.01283571,0.73192,0.4993
109,0.85296506,2.00368296,0.74052,0.5052
110,0.81373704,1.99651197,0.75416,0.506
111,0.7824914,1.97975033,0.76146,0.5167
112,0.73862606,2.01852619,0.77404,0.5091
113,0.71392916,2.02170061,0.7816,0.5131
114,0.65913836,1.99664663,0.79766,0.5183
115,0.62895039,2.02506682,0.8062,0.5148
116,0.60230613,2.03151277,0.81464,0.5208
117,0.55806412,2.06001658,0.82744,0.5183
118,0.52187324,2.08804495,0.84032,0.5116
119,0.48616383,2.10372015,0.8479,0.5133
120,0.45265655,2.0860922,0.85836,0.5234
121,0.41719664,2.08866345,0.87204,0.5233
122,0.38094351,2.1098201,0.88226,0.5232
123,0.35361796,2.11787907,0.89118,0.5324
124,0.32629331,2.12529358,0.89824,0.5284
125,0.29131109,2.14364681,0.91112,0.5265
126,0.26988814,2.17286792,0.9176,0.5309
127,0.23733195,2.162161,0.93058,0.5345
128,0.21027646,2.15161979,0.93808,0.5387
129,0.1940126,2.19773906,0.9426,0.5327
130,0.17378084,2.17859759,0.95006,0.5467
131,0.15312405,2.19530202,0.95798,0.54
132,0.13639364,2.17819274,0.96278,0.5457
133,0.12262514,2.20898933,0.96662,0.5477
134,0.10825396,2.21627664,0.97192,0.5496
135,0.09784846,2.2374873,0.97506,0.5518
136,0.08470675,2.23607872,0.97984,0.5517
137,0.08245164,2.23616733,0.97994,0.5524
138,0.07247437,2.24704548,0.98314,0.5541
139,0.06684847,2.26730923,0.98536,0.5495
140,0.05999063,2.24812361,0.9873,0.5543
141,0.05713091,2.27200431,0.98808,0.5542
142,0.05340784,2.27998112,0.98936,0.5571
143,0.05050391,2.26918768,0.9904,0.5576
144,0.04585909,2.27402055,0.99168,0.5598
145,0.04522426,2.28864238,0.99182,0.5597
146,0.04240077,2.29730201,0.99202,0.5579
147,0.04031726,2.2949513,0.99296,0.5593
148,0.03893581,2.29659314,0.99318,0.5584
