epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,4.09478371,4.10316464,0.07286,0.0839
2,3.77187849,3.92973787,0.11778,0.1033
3,3.62327496,3.85882965,0.1454,0.1176
4,3.52126465,3.73804617,0.16036,0.1315
5,3.4413385,3.68227151,0.17266,0.1433
6,3.38589497,3.6127555,0.18622,0.1522
7,3.34198409,3.58920125,0.19272,0.1609
8,3.30330734,3.53887469,0.20172,0.1758
9,3.26480696,3.49704226,0.20798,0.1693
10,3.22978904,3.45171772,0.21338,0.1883
11,3.19984229,3.47883055,0.22164,0.1774
12,3.16198229,3.31997825,0.22738,0.2129
13,3.1335376,3.35921841,0.23128,0.2044
14,3.11179339,3.32267878,0.23628,0.2056
15,3.0904345,3.30190912,0.24048,0.209
16,3.06295587,3.235865,0.24786,0.2221
17,3.04410343,3.32434108,0.24762,0.2156
18,3.02565914,3.28790117,0.2524,0.2168
19,3.01228544,3.26906137,0.2534,0.2184
20,2.99165974,3.23926964,0.26016,0.2247
21,2.96990622,3.27902027,0.26446,0.2207
22,2.95319614,3.16426243,0.26606,0.2384
23,2.94194848,3.17437627,0.26918,0.2366
24,2.93217219,3.10180086,0.27098,0.2523
25,2.90954046,3.12897971,0.27574,0.2485
26,2.90643024,3.08801134,0.27544,0.2563
27,2.89116909,3.1051301,0.28044,0.245
28,2.87912896,3.0767986,0.28116,0.2537
29,2.86017306,3.05250182,0.28454,0.261
30,2.85128365,3.07324534,0.28674,0.2579
31,2.83620729,3.10945059,0.2917,0.2547
32,2.82565038,3.0531279,0.2927,0.2573
33,2.81048131,3.00628822,0.29352,0.2683
34,2.79702082,3.0075328,0.29776,0.266
35,2.78988716,3.07669604,0.3008,0.2541
36,2.7813604,2.96782014,0.29996,0.2795
37,2.76249579,2.99299335,0.30424,0.2714
38,2.74787622,3.01041236,0.30828,0.2742
39,2.74181551,2.95149989,0.30808,0.2792
40,2.72931632,2.89449401,0.30774,0.2864
41,2.7198984,2.92362527,0.30892,0.2852
42,2.71029316,2.93758688,0.31358,0.2832
43,2.69933821,2.9044992,0.31628,0.2855
44,2.68520446,2.86867976,0.3217,0.2915
45,2.67738524,2.89709015,0.32192,0.2943
46,2.66306984,2.96031782,0.3231,0.2769
47,2.65208015,2.90918558,0.32606,0.2814
48,2.64432895,2.84050611,0.3276,0.3007
49,2.62825982,2.88928549,0.32866,0.3014
50,2.62062825,2.83525908,0.33286,0.2999
51,2.60192723,2.8650317,0.337,0.2958
52,2.59526771,2.87826065,0.33794,0.2994
53,2.58580556,2.7714697,0.34078,0.3178
54,2.57329692,2.86758779,0.3419,0.299
55,2.56047723,2.78829648,0.3444,0.3112
56,2.54776303,2.81230627,0.34544,0.3052
57,2.54094769,2.85178544,0.35164,0.3037
58,2.52697407,2.87383145,0.35234,0.2922
59,2.50820969,2.83543185,0.35336,0.3121
60,2.49492297,2.83914405,0.35868,0.3128
61,2.48027071,2.79081337,0.36152,0.3141
62,2.47013767,2.80864496,0.3603,0.3203
63,2.45329445,2.77363653,0.36584,0.3172
64,2.44165537,2.8046116,0.36786,0.3197
65,2.43127975,2.73163774,0.3711,0.329
66,2.40632525,2.74254358,0.37388,0.3249
67,2.39482281,2.71388232,0.37894,0.3309
68,2.38452242,2.79606191,0.38104,0.3295
69,2.36702702,2.78845397,0.3821,0.3294
70,2.35093234,2.72780184,0.3874,0.3373
71,2.34135805,2.74016251,0.3915,0.3301
72,2.31741553,2.78748094,0.3953,0.3228
73,2.29885248,2.76226411,0.3945,0.3305
74,2.29021658,2.70607438,0.39802,0.3407
75,2.26800418,2.79000905,0.40336,0.3309
76,2.25469213,2.67620976,0.4077,0.3412
77,2.23389612,2.67335684,0.41214,0.3448
78,2.2164614,2.66028202,0.41586,0.3478
79,2.19451146,2.67553104,0.4187,0.3417
80,2.17680288,2.66904891,0.42324,0.3423
81,2.16108269,2.71089337,0.42618,0.3444
82,2.13445999,2.70896497,0.434,0.3399
83,2.110465,2.68444642,0.4382,0.3486
84,2.09103414,2.68286536,0.43946,0.3541
85,2.0677047,2.66923265,0.44726,0.349
86,2.04602225,2.67157269,0.45004,0.3491
87,2.02391861,2.6404821,0.45556,0.3516
88,1.99447158,2.66741662,0.4619,0.359
89,1.97618574,2.6650866,0.46342,0.3528
90,1.94901659,2.66774998,0.47348,0.36
91,1.92994333,2.67470155,0.47654,0.3542
92,1.90128923,2.65917497,0.4804,0.3644
93,1.8712887,2.67786451,0.491,0.3605
94,1.83630822,2.61862307,0.4962,0.3682
95,1.81718403,2.67828873,0.50114,0.3574
96,1.78008793,2.63706059,0.51048,0.3764
97,1.74130036,2.65046646,0.5202,0.3732
98,1.70839704,2.66105153,0.52576,0.3727
99,1.6813199,2.70140736,0.53412,0.3619
100,1.64452645,2.64483813,0.5423,0.3738
101,1.61484003,2.68725315,0.5481,0.3694
102,1.56870114,2.6589383,0.5576,0.3754
103,1.53301978,2.67397388,0.56856,0.372
104,1.50212375,2.69983323,0.57612,0.3786
105,1.45751808,2.72318162,0.58706,0.3799
106,1.41404978,2.73023144,0.59712,0.3737
107,1.37361993,2.6962096,0.60558,0.3765
108,1.33239259,2.72570277,0.61646,0.3843
109,1.28547962,2.76928729,0.632,0.3773
110,1.23948638,2.80815693,0.6395,0.3778
111,1.20055494,2.80481051,0.64996,0.3804
112,1.15007321,2.79445404,0.66652,0.3797
113,1.10524454,2.80193388,0.67622,0.3843
114,1.05355674,2.8822236,0.69004,0.3815
115,1.00201004,2.90955493,0.7051,0.3836
116,0.95577488,2.9136932,0.71774,0.3793
117,0.90672157,2.9130853,0.73074,0.3816
118,0.85531295,2.92088831,0.74618,0.3847
119,0.8037951,2.94195701,0.76018,0.3887
120,0.75616394,2.99700442,0.77332,0.3844
121,0.70591591,2.99940279,0.78784,0.3952
122,0.65878309,2.99736282,0.8024,0.393
123,0.60062221,3.06090511,0.82076,0.3891
124,0.5540471,3.0478292,0.83652,0.3979
125,0.50680045,3.10869327,0.85026,0.3927
126,0.47502151,3.13951266,0.86094,0.3978
127,0.42130648,3.17788455,0.87712,0.3981
128,0.38354584,3.15975795,0.88696,0.4013
129,0.34961763,3.23061532,0.89928,0.3947
130,0.3155857,3.22087791,0.9107,0.401
131,0.28953455,3.25472256,0.91858,0.3989
132,0.25785601,3.2727604,0.92816,0.4005
133,0.22761645,3.27154596,0.93904,0.4063
134,0.20656845,3.28539713,0.9453,0.401
135,0.1870506,3.30083376,0.95212,0.4061
136,0.17285898,3.31344301,0.9561,0.4112
137,0.15949514,3.33018134,0.96022,0.4103
138,0.14593329,3.32316169,0.96594,0.4074
139,0.1292669,3.34802428,0.97052,0.4104
140,0.11869243,3.36249795,0.9738,0.41
141,0.11068151,3.36559248,0.97598,0.4125
142,0.1054811,3.36318256,0.97754,0.4155
143,0.10012227,3.35702978,0.97862,0.4121
144,0.09447538,3.38102531,0.98128,0.4123
145,0.0891007,3.39021891,0.98248,0.4118
146,0.08699127,3.38551688,0.98312,0.417
147,0.0819309,3.38482257,0.9845,0.4183
148,0.08011819,3.38599424,0.98444,0.417
149,0.07794291,3.38881587,0.98564,0.4177
150,0.07620785,3.39106344,0.98516,0.4171
